Bplus,Decay ID
B^{+}\rightarrow K^{+} \pi^{0} \pi^{0} \mu^{+} \mu^{-},1104
B^{+}\rightarrow K^{+} \phi \mu^{+} \mu^{-},1105
B^{+}\rightarrow Xsu \mu^{+} \mu^{-},1106
B^{+}\rightarrow K^{+} \tau^{+} \tau^{-},1107
B^{+}\rightarrow K^{*+} \tau^{+} \tau^{-},1108
B^{+}\rightarrow Xsu \tau^{+} \tau^{-},1109
B^{+}\rightarrow \tau^{+} \nu_{\tau},1110
B^{+}\rightarrow \mu^{+} \nu_{\mu},1111
B^{+}\rightarrow e^{+} \nu_{e},1112
B^{+}\rightarrow \pi^{+} \pi^{0} \pi^{0},1113
B^{+}\rightarrow \pi^{+} \pi^{+} \pi^{-},1114
B^{+}\rightarrow \eta \pi^{+},1115
B^{+}\rightarrow \eta K^{+},1116
B^{+}\rightarrow K^{*+} \eta,1117
B^{+}\rightarrow \rho^{+} \eta,1118
B^{+}\rightarrow {\eta^{\prime}} \pi^{+},1119
B^{+}\rightarrow {\eta^{\prime}} K^{+},1120
B^{+}\rightarrow K^{*+} {\eta^{\prime}},1121
B^{+}\rightarrow \rho^{+} {\eta^{\prime}},1122
B^{+}\rightarrow \omega \pi^{+},1123
B^{+}\rightarrow \omega K^{+},1124
B^{+}\rightarrow \omega K^{*+},1125
B^{+}\rightarrow \omega \rho^{+},1126
B^{+}\rightarrow \phi \pi^{+},1127
B^{+}\rightarrow \phi K^{+},1128
B^{+}\rightarrow K^{0} \pi^{+},1129
B^{+}\rightarrow K_{S}^{0} \pi^{+},1130
B^{+}\rightarrow K_{L}^{0} \pi^{+},1131
B^{+}\rightarrow \bar{K}^{0} K^{+},1132
B^{+}\rightarrow \pi^{+} \pi^{0},1133
B^{+}\rightarrow K^{+} \pi^{0},1134
B^{+}\rightarrow \rho^{0} \pi^{+},1135
B^{+}\rightarrow \rho^{0} K^{+},1136
B^{+}\rightarrow \rho^{+} \pi^{0},1137
B^{+}\rightarrow \rho^{+} K^{0},1138
B^{+}\rightarrow \rho(2S)^{0} \pi^{+},1139
B^{+}\rightarrow \rho(2S)^{0} K^{+},1140
B^{+}\rightarrow f_{0} \pi^{+},1141
B^{+}\rightarrow f_{0} K^{+},1142
B^{+}\rightarrow a_{0}^{+} K^{0},1143
B^{+}\rightarrow a_{0}^{0} K^{+},1144
B^{+}\rightarrow a_{0}^{0} \pi^{+},1145
B^{+}\rightarrow a_{0}^{+} \pi^{0},1146
B^{+}\rightarrow f_{2} \pi^{+},1147
B^{+}\rightarrow K_{0}^{*0} \pi^{+},1148
B^{+}\rightarrow \bar{K}_{0}^{*0} K^{+},1149
B^{+}\rightarrow K_{0}^{*+} \pi^{0},1150
B^{+}\rightarrow K_{0}^{*+} \bar{K}^{0},1151
B^{+}\rightarrow K^{*+} \pi^{0},1152
B^{+}\rightarrow K^{*+} \bar{K}^{0},1153
B^{+}\rightarrow K^{+} \pi^{-} \pi^{+},1154
B^{+}\rightarrow K^{+} K^{-} \pi^{+},1155
B^{+}\rightarrow K^{+} K^{-} K^{+},1156
B^{+}\rightarrow K^{+} K^{+} \pi^{-},1157
B^{+}\rightarrow K^{-} \pi^{+} \pi^{+},1158
B^{+}\rightarrow K^{+} \bar{K}^{0} \pi^{0},1159
